"titles","abstract","year","geography","categoryTitle","categoryText"
"Binational study of pediatric blood lead levels along the United States/Mexico border","To evaluate lead exposure among children living in border communities, the states of Arizona and New Mexico in the United States (US), and the states of Sonora and Chihuahua in Mexico collaboratively requested that the Centers for Disease Control and Prevention (CDC) provide technical assistance to document pediatric blood lead levels (BLLs) in children living along this part of the US/Mexico border. Two studies were conducted to evaluate BLLs of children aged 1-6 years. In 1998, 1210 children were tested in the Arizona/Sonora study; in 1999, 874 children were tested in New Mexico/Chihuahua. Overall geometric mean BLL was 32.5 microg/l (95% Confidence Interval 31.5-33.5) with BLLs ranging from below limit of detection to 320.0 microg/l. Mean BLLs were higher among children living on the Mexican side of the border (43.2 microg/l) compared to those on the US side (22.3 microg/l). Mean BLLs ranged from 14.9 to 31.2 microg/l at the US sites and from 26.9 to 55.2 microg/l at the Mexican sites. This study used a convenience sample and cannot be considered representative of the general population. Nonetheless, the range of mean BLLs among the sites and especially the higher mean BLLs among children living in the border communities in Mexico suggests different exposures to lead and warrants further attention.","2006","Arizona","None","None"
"Binational study of pediatric blood lead levels along the United States/Mexico border","To evaluate lead exposure among children living in border communities, the states of Arizona and New Mexico in the United States (US), and the states of Sonora and Chihuahua in Mexico collaboratively requested that the Centers for Disease Control and Prevention (CDC) provide technical assistance to document pediatric blood lead levels (BLLs) in children living along this part of the US/Mexico border. Two studies were conducted to evaluate BLLs of children aged 1-6 years. In 1998, 1210 children were tested in the Arizona/Sonora study; in 1999, 874 children were tested in New Mexico/Chihuahua. Overall geometric mean BLL was 32.5 microg/l (95% Confidence Interval 31.5-33.5) with BLLs ranging from below limit of detection to 320.0 microg/l. Mean BLLs were higher among children living on the Mexican side of the border (43.2 microg/l) compared to those on the US side (22.3 microg/l). Mean BLLs ranged from 14.9 to 31.2 microg/l at the US sites and from 26.9 to 55.2 microg/l at the Mexican sites. This study used a convenience sample and cannot be considered representative of the general population. Nonetheless, the range of mean BLLs among the sites and especially the higher mean BLLs among children living in the border communities in Mexico suggests different exposures to lead and warrants further attention.","2006","New Mexico","None","None"
"Lead poisoning in Minnesota Medicaid children","This article presents data on blood-lead testing in Minnesota children from 1999 through 2003. The number of Minnesota children younger than 6 years of age who were tested for blood lead increased from approximately 38,000 in 1999 to 61,000 in 2003. The rate of blood-lead testing in 9- to 30-month-old children enrolled in Medical Assistance and MinnesotaCare, the state's Medicaid programs for children, increased from 17% to 29% between 1999 and 2003. The rate of elevated blood-lead levels (10 microg/dL or greater) in all tested children declined from 6% in 1999 to 2.7% in 2003. However, the rate of elevated blood-lead levels in children enrolled in the 2 public programs in 2003 (3.4%) was 2-fold higher than that in children who were not on Medical Assistance or MinnesotaCare (1.5%). The percentage of all children with elevated blood-lead levels who were retested within 3 months increased from 39% in 1999 to 50% in 2003.","2006","Minnesota","None","None"
"The effectiveness of low-cost soil treatments to reduce soil and dust lead hazards: The Boston lead safe yards low cost lead in soil treatment, demonstration and evaluation","The Boston lead safe yards low cost lead in soil treatment, demonstration, and evaluation was developed to explore the viability and effectiveness of low-cost soil interventions to reduce exposure to soil lead hazards. Buildings that had been abated for lead to Massachusetts's deleading standards in the previous 5 yrs and met other program requirements were recruited for the evaluation. Following individual property assessments, yards were treated with application of ground coverings and ground barriers in 2000-2001 and followed up at 1 yr. The treatment cost ranged from $1095 to $5643 with an average of $2798. Soil lead levels at the building dripline, measured with a field-portable X-ray fluorescence analyzer (Niton Model 702 Spectrum Analyzer), dropped from 2021 PPM at baseline to 206 PPM at 1-yr follow-up. Most of the barrier treatments continued to block access to the lead-contaminated soil at 1 yr. At the follow-up, few properties with grass treatment had areas that were completely bare, but 28% had more than a small amount of treated areas bare. Treatments were effective in reducing entryway dust lead in the rear of the building if the residents reported they had maintained the yard treatments. Each additional yard work activity reported was predicted to lower 1-yr floor dust lead loading at the rear common/main and dwelling unit entries by about 20%. Each additional 100 ft(2) of yard treated was predicted to lower 1-yr floor dust loading at the rear dwelling unit entry by 19%. Treatments did not show a dust lead effect at 1 yr in the front entryway of the building, but the investigators believe that this may be due to the effect of resident cleaning overshadowing the treatment effect. (c) 2006 Elsevier Inc. All rights reserved.","2006","Massachusetts","soil","soil"
"Blood lead levels in children and environmental lead contamination in Miami inner city, Florida","Studies have shown that the environmental conditions of the home are important predictors of health, especially in low-income communities. Understanding the relationship between the environment and health is crucial in the management of certain diseases. One health outcome related to the home environment among urban, minority, and low-income children is childhood lead poisoning. The most common sources of lead exposure for children are lead paint in older, dilapidated housing and contaminated dust and soil produced by accumulated residue of leaded gasoline. Blood lead levels (BLL) as low as 10 microg/dL in children are associated with impaired cognitive function, behavior difficulties, and reduced intelligence. Recently, it is suggested that the standard for intervention be lowered to BLL of 5 microg/dl. The objectives of our report were to assess the prevalence of lead poisoning among children under six years of age and to quantify and test the correlations between BLL in children and lead exposure levels in their environment. This cross-sectional analysis was restricted to 75 children under six years of age who lived in 6 zip code areas of inner city Miami. These locations exhibited unacceptably high levels of lead dust and soil in areas where children live and play. Using the 5 microg/dL as the cutoff point, the prevalence of lead poisoning among the study sample was 13.33%. The study revealed that lead levels in floor dust and window sill samples were positively and significantly correlated with BLL among children (p < 0.05). However, the correlations between BLL and the soil, air, and water samples were not significant. Based on this pilot study, a more comprehensive environmental study in surrounding inner city areas is warranted. Parental education on proper housecleaning techniques may also benefit those living in the high lead-exposed communities of inner city Miami.","2006","Florida","None","soil"
"Predicting children's blood lead levels from exposure to school drinking water in Seattle, Washington, USA","OBJECTIVE: Lead exposure through drinking water is of increasing interest with little known about its potential childhood health impact. In 2004, school testing in Seattle, Washington, found lead concentrations in drinking water that exceeded national guidelines (>20 ppb). On the basis of these data, we estimated potential blood lead levels (BLLs) in elementary school children to better understand the potential health risks posed by these exposures. METHODS: We used the US Environmental Protection Agency Integrated Uptake Biokinetic Model for Lead in Children to predict geometric mean BLLs. We modeled typical-case and worst-case scenarios for children in 71 elementary schools on the basis of drinking water lead concentrations results from 2004. RESULTS: The estimated geometric mean BLLs under a typical scenario for each school ranged from 1.6 to 2.5 microg/dL. The worst-case scenario predicted geometric mean BLLs ranging from 1.7 to 5.0 microg/dL. All modeling yielded predicted BLLs well below the Centers for Disease Control and Prevention's public health goal of <10 microg/dL. CONCLUSIONS: Our modeling suggests drinking water exposures up to 10-15 times the Environmental Protection Agency guideline are unlikely to result in BLLs exceeding the current guidelines of the Centers for Disease Control and Prevention in the absence of other significant exposure sources. In Seattle, elevated school drinking water lead concentrations are not a significant source of lead exposure in school-age children. Further characterization of drinking water impacts are merited only if younger-age children are consuming water or if water lead concentrations are higher than those in this study.","2006","Washington","water","water"
"Inadequate prenatal care and elevated blood lead levels among children born in Providence, Rhode Island: a population-based study","OBJECTIVE: This study was conducted to determine whether children born to mothers receiving inadequate prenatal care are at an increased risk for having an elevated blood lead level during early childhood. METHODS: The authors conducted a population-based study of children born in Providence, Rhode Island, from 1997 to 2001 whose mothers had received adequate, intermediate, or inadequate prenatal care. The children's blood lead levels were compared between groups using bivariate and logistic regression. To understand the regulatory implications and public health impact of changing the definition of an elevated blood lead level, ""elevated"" was defined as 5 microg/dL, 10 microg/dL, and 15 microg/dL. RESULTS: Children born to mothers who received inadequate prenatal care were at an elevated risk for having an elevated blood lead level later in life. This relationship remained statistically significant for each definition of elevated blood lead level and after controlling for other socio-economic status measures and birthweight (at 5 microg/dL, odds ratio [OR] = 1.36, 95% confidence interval [CI] 1.09, 1.68, p = 0.006; at 10 microg/dL, OR = 1.68, 95% CI 1.26, 2.24, p < 0.0004; at 15 microg/dL, OR = 1.83, 95% CI 1.10, 3.04, p = 0.019) represent an opportune moment to identify expectant mothers living in lead-contaminated environments. CONCLUSIONS: Results suggest that conducting lead screening as a regular part of prenatal care provision could help identify women possibly experiencing ongoing lead exposure and help reduce or prevent exposures to their offspring.","2006","Rhode Island","None","None"
"An economic impact assessment of lead exposure in the Commonwealth of Kentucky, USA: making the case for statewide remediation","Childhood lead poisoning is a major, preventable environmental health problem in the USA. The primary source of lead poisoning in children is exposure to deteriorating lead-based paint in older low-quality, low-income housing. The circumstance of concentrated poverty and the shortage of high quality low-income housing provide a recipe for increasing disease rates attributed to lead exposure. This paper assesses the economic impact of lead exposure in high-risk housing among children residing in the Commonwealth of Kentucky as measured by productivity and tax revenues lost. It examines remediation costs of high-risk housing statewide against the costs of exposure. Specifically, it examines the relationships between IQ and earnings potential, lost earnings and tax revenue generation, remediation costs and the cost of exposure, and it evaluates these costs against exposure reduction and suggests a strategy for comprehensive remediation activities that pays for itself over time. The results of this analysis determine that the long-term benefits of reducing the outcomes associated with lost productivity among young children per year due to lead exposure would generate sufficient tax revenue to pay for complete remediation of all high risk low-quality housing units in Kentucky.","2007","Kentucky","None","None"
"The status of childhood lead poisoning and prevention in Nevada, USA","One of the first steps in addressing the problem of childhood lead poisoning is to identify the possible sources of exposure in specific communities and target high-risk populations with appropriate interventions. Due to several factors, such as lack of funding and lack of blood lead reporting, little information exists regarding the occurrence of childhood lead poisoning and the prevalence of potential exposure sources in the state of Nevada. Following the recent establishment of a Nevada-based Lead Poisoning Program, we compiled the most current information available on Nevadans, and use this knowledge to suggest future research objectives and outreach activities for the state. Accordingly, we identify the characteristics of the vulnerable Nevada populations, explore possible sources of lead exposure unique to Nevada, and summarize the existing data on childhood lead poisoning. Emerging data indicates that Nevada is an area of rapid population growth, characterized by increasing immigration from Latin America, increasing numbers of children from low-income families with no health insurance. Also, childhood lead poisoning may arise from exposure to non-paint sources of lead. After presenting the Nevada statistics, we propose and recommend a set of research and outreach strategies that best suit the needs of Nevada residents.","2007","Nevada","None","social"
"Childhood lead poisoning prevention activities within Michigan local public health departments","Local public health departments have a wide array of responsibilities, including coordinating childhood lead poisoning prevention activities. This study was conducted in an effort to understand how local public health officers prioritized lead poisoning prevention activities and the barriers to the delivery of childhood lead poisoning prevention services delivered through local health departments. A telephone survey was conducted of health officers in Michigan, a state with a high burden of environmental lead. Analysis included Spearman rank correlation and Fisher's exact test. No association was found between the local risk of lead poisoning and the priority placed by local health departments on lead poisoning prevention activities. Similarly, there was no association between the local risk of lead poisoning and the availability of services. Only 60% of local health departments offered blood lead testing, environmental investigation, and case management. Most (74%) believed that lead poisoning is inadequately addressed within the area served by their local health department. New strategies of providing lead poisoning prevention activities are needed to achieve the federal and state goals of eliminating childhood lead poisoning over the next decade.","2007","Michigan","None","None"
"Changes in blood lead levels associated with use of chloramines in water treatment systems","BACKGROUND: More municipal water treatment plants are using chloramines as a disinfectant in order to reduce carcinogenic by-products. In some instances, this has coincided with an increase in lead levels in drinking water in those systems. Lead in drinking water can be a significant health risk. OBJECTIVES: We sought to test the potential effect of switching to chloramines for disinfection in water treatment systems on childhood blood lead levels using data from Wayne County, located in the central Coastal Plain of North Carolina. METHODS: We constructed a unified geographic information system (GIS) that links blood lead screening data with age of housing, drinking water source, and census data for 7,270 records. The data were analyzed using both exploratory methods and more formal multivariate techniques. RESULTS: The analysis indicates that the change to chloramine disinfection may lead to an increase in blood lead levels, the impact of which is progressively mitigated in newer housing. CONCLUSIONS: Introducing chloramines to reduce carcinogenic by-products may increase exposure to lead in drinking water. Our research provides guidance on adjustments in the local childhood lead poisoning prevention program that should accompany changes in water treatment. As similar research is conducted in other areas, and the underlying environmental chemistry is clarified, water treatment strategies can be optimized across the multiple objectives that municipalities face in providing high quality drinking water to local residents.","2007","North Carolina","water","water"
"Exposure to lead and length of time needed to make homes lead-safe for young children","OBJECTIVES: We determined the length of time needed to make homes lead-safe in a population of children aged 0 to 6 years with blood lead levels (BLLs) of 20 micrograms per deciliter (mug/dL) or greater. Reducing this time would reduce children's exposure to lead. METHODS: Data came from the Wisconsin Childhood Lead Poisoning Prevention Program's comprehensive blood lead surveillance system. Analysis was restricted to children whose first BLL test value during 1996-1999 was between 20 and 40 mug/dL and for whom housing intervention data were available (n=382). RESULTS: The median length of time required to make a home lead-safe was 465 days. Only 18% of children lived in homes that were made lead-safe within 6 months; 45% lived in homes requiring more than 18 months to be lead-safe. CONCLUSIONS: Efforts are needed to reduce the time it takes to make a home lead-safe. Although abatement orders always include time limits, improved compliance with the orders must be enforced. Greater emphasis should be placed on securing lead-safe or lead-free housing for families, thus reducing lead exposure.","2007","Wisconsin","None","None"
"Use of a general toxicity test to predict heavy metal concentrations in residential soils","Significant clusters of developmental delay and mental retardation (DD/MR) were identified in children born in South Carolina. Although it is difficult to identify one factor that causes DD/MR, environmental insult including exposure of pregnant women to heavy metals c; in induce DD/MR in their children. Because it is expensive to measure the concentrations of individual metals in large numbers of environmental samples, the general Microtox((R)) toxicity test was used to identify highly toxic soil samples. Approximately 100 soil samples were collected from residential areas and analyzed to determine an effective concentration (EC(50)) of soil required to inhibit 50% light emission of the luminescent bacterial test organism (Vibrio fischeri). The EC(50) values were then transformed to relative toxicity units (RTU). A subset of 56 high and low toxicity soil samples was then analyzed by inductively coupled plasma-atomic emission spectrometry (EPA method 6010) for arsenic, lead, and chromium, which are known neurotoxins. The highest measured arsenic concentration was 30 times hi.,her than the South Carolina residential soil limit. Significant correlations were found between the RTU and soil arsenic and chromium concentrations. Microtox((R)) also identified some low arsenic and chromium samples as toxic, presumably because additional unidentified toxicants were present in the soil. In general, however, the Microtox((R)) test was effective in identifying soils with elevated concentrations of arsenic and chromium, even in residential neighborhoods where limited soil toxicity was expected. (c) 2006 Elsevier Ltd. All rights reserved.","2007","South Carolina","soil","soil"
"The association between demolition activity and children's blood lead levels","Urban renewal efforts are a priority for many American cities. As efforts to reconstitute urban centers increase, the demolition of old, deteriorated structures has accelerated. Recent studies have identified demolitions as a potential source of environmental lead exposure. We conducted a study examining the relationship between demolition activity and blood lead levels of children residing in neighborhoods where demolition activity occurred. A retrospective cohort study was conducted in St. Louis City, Missouri. The study period was January 1, 2002 to December 31, 2002. Data were obtained from the Missouri Childhood Lead Poisoning Prevention Program's (CLPPP) lead surveillance system and St. Louis Demolition Permit Database. Children were considered exposed to a demolition if they had a blood lead test within 45 days of any demolition on a census block. Exposure was classified as both a dichotomous (yes/no) and a categorical (none/one/multiple) variable and was analyzed separately. Linear regression models were developed to determine effects of demolitions on blood lead levels. A total of 1196 children 6-72 months of age living in 395 census blocks were included. 314 (26.3%) were exposed and 882 (73.7%) were unexposed to a demolition. In an adjusted model, exposure to multiple demolitions was found to have significant effects on children blood lead levels (coefficient=0.281; 95% CI=0.069, 0.493; P-value=0.010). Age of the child, race, and age of housing where children's resided were also significant predictors. This study suggests that multiple demolitions within a census block may significantly increase children's blood lead levels. The findings may be useful to municipal planners in older cities where demolitions are being used as an urban renewal tool.","2007","Missouri","None","None"
"Elevated lead in drinking water in Washington, DC, 2003-2004: the public health response","BACKGROUND: In 2003, residents of the District of Columbia (DC) experienced an abrupt rise in lead levels in drinking water, which followed a change in water-disinfection treatment in 2001 and which was attributed to consequent changes in water chemistry and corrosivity. OBJECTIVES: To evaluate the public health implications of the exceedance, the DC Department of Health expanded the scope of its monitoring programs for blood lead levels in children. METHODS: From 3 February 2004 to 31 July 2004, 6,834 DC residents were screened to determine their blood lead levels. RESULTS: Children from 6 months to 6 years of age constituted 2,342 of those tested; 65 had blood lead levels > 10 microg/dL (the ""level of concern"" defined by the Centers for Disease Control and Prevention), the highest with a level of 68 microg/dL. Investigation of their homes identified environmental sources of lead exposure other than tap water as the source, when the source was identified. Most of the children with elevated blood lead levels (n = 46; 70.8%) lived in homes without lead drinking-water service lines, which is the principal source of lead in drinking water in older cities. Although residents of houses with lead service lines had higher blood lead levels on average than those in houses that did not, this relationship is confounded. Older houses that retain lead service lines usually have not been rehabilitated and are more likely to be associated with other sources of exposure, particularly lead paint. None of 96 pregnant women tested showed blood lead levels > 10 microg/dL, but two nursing mothers had blood lead levels > 10 microg/dL. Among two data sets of 107 and 71 children for whom paired blood and water lead levels could be obtained, there was no correlation (r(2) = -0.03142 for the 107). CONCLUSIONS: The expanded screening program developed in response to increased lead levels in water uncovered the true dimensions of a continuing problem with sources of lead in homes, specifically lead paint. This study cannot be used to correlate lead in drinking water with blood lead levels directly because it is based on an ecologic rather than individualized exposure assessment; the protocol for measuring lead was based on regulatory requirements rather than estimating individual intake; numerous interventions were introduced to mitigate the effect; exposure from drinking water is confounded with other sources of lead in older houses; and the period of potential exposure was limited and variable.","2007","Washington","water","water"
"Elevated lead in drinking water in Washington, DC, 2003-2004: the public health response","BACKGROUND: In 2003, residents of the District of Columbia (DC) experienced an abrupt rise in lead levels in drinking water, which followed a change in water-disinfection treatment in 2001 and which was attributed to consequent changes in water chemistry and corrosivity. OBJECTIVES: To evaluate the public health implications of the exceedance, the DC Department of Health expanded the scope of its monitoring programs for blood lead levels in children. METHODS: From 3 February 2004 to 31 July 2004, 6,834 DC residents were screened to determine their blood lead levels. RESULTS: Children from 6 months to 6 years of age constituted 2,342 of those tested; 65 had blood lead levels > 10 microg/dL (the ""level of concern"" defined by the Centers for Disease Control and Prevention), the highest with a level of 68 microg/dL. Investigation of their homes identified environmental sources of lead exposure other than tap water as the source, when the source was identified. Most of the children with elevated blood lead levels (n = 46; 70.8%) lived in homes without lead drinking-water service lines, which is the principal source of lead in drinking water in older cities. Although residents of houses with lead service lines had higher blood lead levels on average than those in houses that did not, this relationship is confounded. Older houses that retain lead service lines usually have not been rehabilitated and are more likely to be associated with other sources of exposure, particularly lead paint. None of 96 pregnant women tested showed blood lead levels > 10 microg/dL, but two nursing mothers had blood lead levels > 10 microg/dL. Among two data sets of 107 and 71 children for whom paired blood and water lead levels could be obtained, there was no correlation (r(2) = -0.03142 for the 107). CONCLUSIONS: The expanded screening program developed in response to increased lead levels in water uncovered the true dimensions of a continuing problem with sources of lead in homes, specifically lead paint. This study cannot be used to correlate lead in drinking water with blood lead levels directly because it is based on an ecologic rather than individualized exposure assessment; the protocol for measuring lead was based on regulatory requirements rather than estimating individual intake; numerous interventions were introduced to mitigate the effect; exposure from drinking water is confounded with other sources of lead in older houses; and the period of potential exposure was limited and variable.","2007","District of Columbia","water","water"
"Globalization, binational communities, and imported food risks: Results of an outbreak investigation of lead poisoning in Monterey County, California","Objectives. Although the burden of lead poisoning has decreased across developed countries, it remains the most prevalent environmental poison worldwide. Our objective was to investigate the sources of an outbreak of lead poisoning in Monterey County, California. Methods. An investigation in 3 county health department clinics in Monterey County, California, was conducted between 2001 and 2003 to identify risk factors for elevated blood lead levels (>= 10 mu g/dL) among children and pregnant women. Results. The prevalence of elevated blood lead levels was significantly higher in 1 of the 3 clinics (6% among screened children and 13% among prenatal patients). Risk factors included eating imported foods (relative risk [RR] = 3.4; 95% confidence interval [CI] = 1.2, 9.5) and having originated from the Zimatlan area of Oaxaca, Mexico, compared with other areas of Oaxaca (RR = 4.0; 95% CI = 1.7, 9.5). Home-prepared dried grasshoppers (chapulines) sent from Oaxaca were found to contain significant amounts of lead. Conclusions. Consumption of foods imported from Oaxaca was identified as a risk factor for elevated blood lead levels in Monterey County, California. Lead-contaminated imported chapulines were identified as 1 source of lead poisoning, although other sources may also contribute to the observed findings. Food transport between binational communities presents a unique risk for the importation 900-906.","2007","California","None","None"
"Do the same houses poison many children? An investigation of lead poisoning in Rochester, New York, 1993-2004","Objectives. In several cities, researchers have found that a discrete number of properties owned by a small number of owners house multiple lead poisoned children over time. The purpose of this study was to determine whether or not a small number of properties were implicated in the poisoning of multiple children in Rochester, New York, between 1993 and 2004. Methods. We analyzed the patterns of ownership and repeated positive environmental investigations (i.e., documented lead hazards) in homes of lead poisoned children using county health department data during a 12-year period. Results. A small percentage (14.8%) of properties in which the health department found a lead hazard had previously documented lead hazards. When a second positive investigation occurred, the average elapsed time between investigations was a little less than three years. Only four property owners owned more than two properties that had multiple positive investigations. Conclusions. In some cities, a small number of properties or property owners provide housing for a large percentage of lead poisoned children. However, this situation is not universal. In Rochester, a relatively small percentage of homes that housed a child with an elevated blood lead level have a history of housing lead poisoned children. In cities like Rochester, lead hazard reduction resources should focus on high-risk housing stock determined by factors such as age, value, and condition, rather than on those with a prior record of housing lead poisoned children.","2007","New York","None","None"
"Northern Idaho house dust and soil lead levels compared to the bunker hill superfund site","House dust has been identified as a major exposure medium for lead (Pb) in children. High levels of Pb in soil and house dust have been recorded at the Bunker Hill Superfund Site (BHSS) in northern Idaho, an historic mining and smelting district. Soil and dust remediation at the site was required; however, regional background soil and dust Pb levels had not been well characterized. The objective of this survey was to determine background house dust Pb levels and to compare those levels with concentrations, and dust and Pb loading rates measured at the BHSS. Soil and house dust samples were collected in five towns demographically similar to the BHSS but unaffected by the mining industry. The background concentrations and loading rates were significantly lower than those observed at the site. House age was a significant factor affecting background soil and house dust Pb concentrations and loading rates.","2007","Idaho","None","soil"
"Using state lead poisoning surveillance system data to assess false positive results of capillary testing","OBJECTIVE: The purpose of this study was to determine the false positive percentage of capillary blood lead screening in a statewide surveillance system and to explore potential predictors of false positive results. METHODS: Data were all blood lead tests of 0-5 year old children in Maine during 2002-2003. We determined the proportion of children with elevated (>/=10 microg/dL) capillary test results who received a venous confirmatory test, and calculated the percentage of false positive tests, defined as a capillary test of >/=10 microg/dL with a confirmatory venous test of <10 microg/dL. Multivariable binomial regression was used to determine whether capillary blood lead level and length of time between capillary and venous tests predicted false positive results, after controlling for potential confounders. We also examined the positive bias of the capillary test among both false positive and true positive results. RESULTS: Seventy-three percent of elevated capillary screening tests (2.2 percent of all capillary screening tests) were false positives. False positive results were less likely for capillary levels of 15-19 microg/dL (RR=0.78; 95% CI 0.5-0.92) and 20 microg/dL or above (RR=0.83; 95% CI 0.71-0.96) compared to 10-14 microg/dL. The percentage of false positives did not vary by interval between screening and confirmatory tests. The capillary test exhibited a positive bias compared to the venous test, even among true positive results. CONCLUSIONS: False positive results may have been caused by sample contamination, rather than laboratory error or true variation in blood lead level between screening and confirmatory tests. Capillary screening could be improved by training in proper sample collection methods.","2007","Maine","None","None"
"Nonlinear association between soil lead and blood lead of children in metropolitan New Orleans, Louisiana: 2000-2005","Metropolitan New Orleans is unique because it has a universal blood lead (BL) screening dataset (n=55,551) from 2000-2005 spatially coupled with a soil lead (SL) dataset (n=5467) completed in 2000. We evaluated empirical associations between measurements of SL and BL exposure responses of children in New Orleans by stratifying the databases by Census Tracts and statistically analyzing them with permutation methods. A consistent curvilinear association occurred annually between SL and BL with robust significance (P-values<10(-23)). The mathematical model of the pooled BL datasets for 2000-2005 is: BL=2.038+0.172 x (SL)(0.5) (agreement (R) of 0.534, an r(2) of 0.528, and a P-value of 1.0 x 10(-211)) indicating that chance alone cannot explain the association. Below 100 mg/kg SL children's BL exposure response is steep (1.4 microg/dL per 100 mg/kg), while above 300 mg/kg SL the BL exposure response is gradual (0.32 microg/dL per 100 mg/kg). In 1995, the BL prevalence was 37%>or=10 microg/dL for the most vulnerable poor and predominantly African-American children. In the era of universal screening the prevalence of elevated BL is 11.8%>or=10 microg/dL for the general population of children. The SL map describes community variations of potential BL exposure. If health effects occur at BL>or=2 microg/dL, then 93.5% of the children in New Orleans are at risk. These results reinforce the proposal that prevention of childhood Pb exposure must include SL remediation as demonstrated by a New Orleans pilot project and a proactive Norwegian government program.","2007","Louisiana","soil","soil"
"Cleaning efficacy of high-efficiency particulate air-filtered vacuuming and ""Dry Steam"" cleaning on carpet","Previous studies for lead exposure reduction have indicated the difficulty in reducing surface contamination of carpets with the use of regular vacuum cleaners. To find a solution, a household vacuum cleaner equipped with a high-efficiency particulate air (HEPA) filter and a dust finder indicator, and a ""dry steam"" cleaner previously reported effective in reducing dust mite allergens in carpets and mattresses were tested for effectiveness in reducing lead dust in carpets. Fifty homes of lead-exposed children were tested in New Jersey. A selected carpet in the living area of each home was tested with two interventions: half was cleaned by HEPA vacuuming twice (VAC-VAC) and the other half by dry steaming between the two HEPA vacuumings (VAC-DSC-VAC). Wipe and vacuum samples, representing surface dust and total dust collections, respectively, were taken before and after cleaning. The wipe and vacuum sample data indicated that both cleaning methods substantially reduced dust lead levels (p < 0.001). The mean percent reductions in lead loading were approximately 29% and 40% for the VAC-VAC and VAC-DSC-VAC interventions, respectively. The difference between the two postcleaning levels was statistically significant by wipe sampling (p = 0.038) but was marginally insignificant by vacuum sampling (p = 0.072). A subset of sample data collected before repeat vacuuming (VAC-DSC) suggested that repeat vacuuming after dry steam cleaning is unnecessary. In summary, slow and steady HEPA vacuuming with the help of a dust finder indicator reduces surface and overall lead dust in carpets, and dry steam cleaning further reduces surface lead contamination as compared with HEPA vacuuming alone.","2008","New Jersey","None","air"
"Implementation of CDC refugee blood lead testing guidelines in Minnesota","The state of Minnesota undertook a trial of the 2005 recommendations for blood lead testing in refugees developed by the Centers for Disease Control and Prevention. New refugee children younger than 16 years of age receiving health screening at an urban clinic were tested for elevated blood lead levels (EBLLs) and nutritional status. Follow-up lead tests were obtained three to six months after the first test. During the course of the project, 150 refugee children received an initial blood lead test and nutritional blood tests, and 140 (93%) received a second blood lead test. Five children (3.3%) had EBLLs at the initial blood lead test and one child (0.7%) had an EBLL at the second test after a nonelevated first test result. In contrast to findings from New Hampshire, this project did not observe a high number of refugees who developed EBLLs after moving to the U.S.","2008","Minnesota","None","None"
"Implementation of CDC refugee blood lead testing guidelines in Minnesota","The state of Minnesota undertook a trial of the 2005 recommendations for blood lead testing in refugees developed by the Centers for Disease Control and Prevention. New refugee children younger than 16 years of age receiving health screening at an urban clinic were tested for elevated blood lead levels (EBLLs) and nutritional status. Follow-up lead tests were obtained three to six months after the first test. During the course of the project, 150 refugee children received an initial blood lead test and nutritional blood tests, and 140 (93%) received a second blood lead test. Five children (3.3%) had EBLLs at the initial blood lead test and one child (0.7%) had an EBLL at the second test after a nonelevated first test result. In contrast to findings from New Hampshire, this project did not observe a high number of refugees who developed EBLLs after moving to the U.S.","2008","New Hampshire","None","None"
"The political ecology of lead poisoning in eastern North Carolina","In the United States, childhood blood lead levels have dropped substantially since 1991, when the Centers for Disease Control and Prevention (CDC) implemented new screening guidelines. Many states, including North Carolina, have established successful screening and intervention programs. Still, pockets of higher lead poisoning rates continue to be a problem in some geographic areas. One of these areas consists of several counties in eastern North Carolina. This cluster of higher rates cannot be explained by poverty and housing characteristics alone. Instead, the explanation requires an understanding of place that encompasses a range of historical, social, political, and economic processes. This paper utilizes a political ecology approach to provide a deeper understanding of how these processes can contribute to ill health.","2008","North Carolina","None","None"
"Reduction of elevated blood lead levels in children in North Carolina and Vermont, 1996-1999","BACKGROUND: Few studies have examined factors related to the time required for children's blood lead levels (BLLs) >= 10 mu g/dL to decline to < 10 mu g/dL. OBJECTIVES: We used routinely collected surveillance data to determine the length of time and risk factors associated with reducing elevated BLLs in children below the level of concern of 10 mu g/dL. METHODS: From the North Carolina and Vermont state surveillance databases, we identified a retrospective cohort of 996 children < 6 years of age whose first two blood lead tests produced levels >= 10 mu g/dL during 1996-1999. Data were stratified into five categories of qualifying BLLs and analyzed using Cox regression. Survival curves were used to describe the time until BLLs declined below the level of concern. We compared three different analytic methods to account for children lost to follow-up. RESULTS: On average, it required slightly more than 1 year (382 days) for a child's BLL to decline to < 10 mu g/dL, with the highest BLLs taking even longer. The BLLs of black children [hazard ratio (HR) = 0.84; 95% confidence interval (CI), 0.71-0.99], males (HRmale = 0.83; 95% CI, 0.71-0.98), and children from rural areas (HRrural = 0.83; 95% CI, 0.70-0.97) took longer to fall below 10 mu g/dL than those of other children, after controlling for qualifying BLL and other covariates. Sensitivity analysis demonstrated that including censored children estimated a longer time for BLL reduction than when using linear interpolation or when excluding censored children. CONCLUSION: Children with high confirmatory BLLs, black children, males, and children from rural areas may need additional attention during case management to expedite their BLL reduction time to < 10 mu g/dL. Analytic methods that do not account for loss to follow-up may underestimate the time it takes for BLLs to fall below the recommended target level.","2008","North Carolina","None","None"
